lf;Category;NCP;Time.Scenario;Method
categories/01-Cur_24-Tot-cat.NonM_Method B.tif;Non-material;Total Non-material services;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_24-Tot-cat.NonM_Method C.tif;Non-material;Total Non-material services;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_27-Tot-cat.All_Method A.tif;All;Total NCPs;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_27-Tot-cat.All_Method B.tif;All;Total NCPs;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_27-Tot-cat.All_Method C.tif;All;Total NCPs;Current (1980-2010);Method 'NCP-HS'
categories/02-Fut.A-45_01-Pot.cro-cat.Mat_Method A.tif;Material;Potential crop (genetic ressources);RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_01-Pot.cro-cat.Mat_Method B.tif;Material;Potential crop (genetic ressources);RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_01-Pot.cro-cat.Mat_Method C.tif;Material;Potential crop (genetic ressources);RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_02-Sol.woo-cat.Mat_Method A.tif;Material;Solid wood;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_02-Sol.woo-cat.Mat_Method B.tif;Material;Solid wood;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_02-Sol.woo-cat.Mat_Method C.tif;Material;Solid wood;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_03-Bur.woo-cat.Mat_Method A.tif;Material;Burned wood;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_03-Bur.woo-cat.Mat_Method B.tif;Material;Burned wood;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_03-Bur.woo-cat.Mat_Method C.tif;Material;Burned wood;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_04-Wil.foo-cat.Mat_Method A.tif;Material;Wild food;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_04-Wil.foo-cat.Mat_Method B.tif;Material;Wild food;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_04-Wil.foo-cat.Mat_Method C.tif;Material;Wild food;RCP 4.5 (2020-2049);Method 'NCP-HS'
